ensembl	featureID	exonBaseMean	dispersion	stat	pvalue	padj	control	treated	log2fold_treated_control	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.9	countData.10	countData.11	countData.12	countData.13	countData.14	countData.15	countData.35	transcripts
ENST00000396991																							
ENSG00000164066	E001	65.38742218	0.001626422	17.4878284	2.89E-05	0.011000856	12.10350001	14.81830248	0.591677056	chr4	127623271	127623491	221	+	63	59	91	64	70	48	51	83	ENST00000504491.1
ENSG00000105426	E037	123.1324628	0.015454263	17.44795196	2.95E-05	0.011204828	15.30911671	20.9255739	0.923326099	chr19	5231310	5231615	306	-	93	99	331	107	137	76	66	112	"c(""ENST00000357368.8"", ""ENST00000348075.6"", ""ENST00000587303.5"", ""ENST00000588012.5"")"
ENSG00000165671	E004	23.36336705	0.005442177	17.439526	2.97E-05	0.011213688	6.611564362	9.348453996	1.004121223	chr5	177133798	177133924	127	+	22	10	31	30	30	15	19	29	ENST00000602285.1
ENSG00000186230	E004	16.70461288	0.007688942	17.43904804	2.97E-05	0.011213688	5.483163782	7.946779628	1.074245901	chr19	57435420	57435523	104	+	9	14	35	21	18	10	9	20	"c(""ENST00000415248.1"", ""ENST00000597296.1"", ""ENST00000334181.4"", ""ENST00000600697.1"")"
ENSG00000100241	E037	218.5499318	0.008185545	17.42702816	2.99E-05	0.011241137	21.09399933	26.40555424	0.674671564	chr22	50464329	50464441	113	-	132	195	620	214	262	135	123	132	"c(""ENST00000380817.7"", ""ENST00000348911.10"")"
ENSG00000095596	E001	34.39188183	0.00459484	17.42163438	2.99E-05	0.011244063	8.411719141	11.11174418	0.80883315	chr10	93073475	93073834	360	+	15	34	72	40	43	26	29	21	ENST00000371531.5
ENSG00000112079	E014	93.20517619	0.00513135	17.40540177	3.02E-05	0.011311381	14.44530932	17.81675486	0.616809822	chr6	36547190	36547470	281	-	82	108	157	88	93	75	68	91	ENST00000229812.7
ENSG00000125841	E014	94.12923428	0.007082267	17.40722785	3.02E-05	0.011311381	14.27012974	17.5570656	0.609209548	chr20	353210	353306	97	+	54	107	171	105	100	62	52	117	"c(""ENST00000470439.5"", ""ENST00000382291.7"", ""ENST00000608875.1"", ""ENST00000492242.5"", ""ENST00000609179.5"", ""ENST00000382285.6"", ""ENST00000621012.1"", ""ENST00000609504.5"")"
ENSG00000169738	E036	54.78004228	0.049306065	17.37876749	3.06E-05	0.011389373	8.897034628	15.13276729	1.548485839	chr17	82036929	82036987	59	-	14	52	167	50	59	29	23	63	"c(""ENST00000585164.2"", ""ENST00000577712.5"", ""ENST00000579334.5"", ""ENST00000580750.5"", ""ENST00000306869.6"", ""ENST00000582900.5"", ""ENST00000578273.5"", ""ENST00000580320.5"", ""ENST00000582613.5"", ""ENST00000579155.1"", ""ENST00000578885.5"", ""ENST00000579842.5"", ""ENST00000585085.1"", ""ENST00000581584.5"", ""ENST00000577532.5"")"
ENSG00000170445	E032	74.68811875	0.003094382	17.37292218	3.07E-05	0.011389373	12.9501148	15.84443953	0.590874719	chr5	140691297	140691339	43	-	62	81	125	75	72	52	55	87	"c(""ENST00000431330.6"", ""ENST00000512396.5"", ""ENST00000415192.6"", ""ENST00000438307.6"", ""ENST00000518126.5"", ""ENST00000457527.6"", ""ENST00000504156.5"", ""ENST00000307633.7"", ""ENST00000507746.5"", ""ENST00000506579.5"")"
ENSG00000166165	E038	41.96026541	0.018526942	17.36494633	3.08E-05	0.011422755	7.928652646	12.11758524	1.232841238	chr14	103522766	103522802	37	-	14	23	154	35	57	19	15	35	"c(""ENST00000348956.6"", ""ENST00000555770.1"", ""ENST00000554426.5"", ""ENST00000557530.1"", ""ENST00000555659.5"", ""ENST00000553652.5"", ""ENST00000554705.5"")"
ENSG00000138834	E040	102.6098096	0.00986561	17.34369713	3.12E-05	0.011503521	14.26960892	18.47650839	0.760109974	chr16	1764319	1764459	141	+	68	89	305	110	105	47	54	75	"c(""ENST00000250894.8"", ""ENST00000356010.9"", ""ENST00000561949.1"", ""ENST00000610761.1"")"
ENSG00000161016	E027	257.4471789	0.038405027	17.34469234	3.12E-05	0.011503521	19.87975653	30.87640667	1.329287511	chr8	144792126	144792140	15	-	107	218	778	270	274	119	130	243	"c(""ENST00000527914.5"", ""ENST00000394920.6"", ""ENST00000528957.5"", ""ENST00000525232.5"", ""ENST00000532702.1"", ""ENST00000531767.1"", ""ENST00000262584.7"", ""ENST00000529920.5"", ""ENST00000533397.5"")"
ENSG00000123143	E017	106.5177614	0.016014494	17.31071865	3.17E-05	0.011606108	14.3146912	19.47115882	0.906164629	chr19	14450318	14450461	144	+	65	100	259	107	112	78	50	108	"c(""ENST00000590097.5"", ""ENST00000585839.5"", ""ENST00000242783.10"", ""ENST00000342216.8"")"
ENSG00000198720	E008	61.32206471	0.02425338	17.29255504	3.20E-05	0.011673693	10.46713023	15.07547958	1.065184769	chr17	29607986	29607999	14	+	33	69	144	66	89	21	31	51	"c(""ENST00000583728.5"", ""ENST00000578811.1"", ""ENST00000614878.4"", ""ENST00000493506.5"", ""ENST00000394859.7"", ""ENST00000487527.5"", ""ENST00000488766.5"")"
ENSG00000163618	E066	16.50433084	0.066407844	17.27472035	3.23E-05	0.011739808	4.306997005	9.013215848	2.137392667	chr3	62875242	62875338	97	-	8	13	62	19	17	6	3	11	"c(""ENST00000383710.8"", ""ENST00000612439.4"", ""ENST00000357948.7"")"
ENSG00000185189	E011	55.19566638	0.007049734	17.26567429	3.25E-05	0.011779414	10.80713908	13.86092285	0.726084321	chr8	143835820	143835875	56	-	34	67	115	66	68	36	31	35	"c(""ENST00000442628.6"", ""ENST00000532940.5"", ""ENST00000423469.6"", ""ENST00000531729.1"", ""ENST00000533093.5"", ""ENST00000529747.5"", ""ENST00000527545.1"")"
ENSG00000152977	E001	48.13822111	0.003739019	17.24932693	3.28E-05	0.01183886	10.18631079	12.91725485	0.692044004	chr3	147393422	147393894	473	+	40	38	98	53	53	33	41	36	ENST00000472523.1
ENSG00000161082	E014	52.88383304	0.007560047	17.22936898	3.31E-05	0.011904943	10.5789408	13.03406384	0.608346782	chr19	3282126	3282256	131	+	25	51	162	65	59	28	29	20	"c(""ENST00000586050.5"", ""ENST00000292672.6"", ""ENST00000588350.1"", ""ENST00000589370.1"", ""ENST00000334293.10"", ""ENST00000541430.6"")"
ENSG00000115977	E039	46.81199287	0.007626084	17.21941215	3.33E-05	0.011935183	9.8737505	12.91191013	0.781425272	chr2	69643093	69643274	182	-	40	35	85	55	52	34	39	39	"c(""ENST00000471775.1"", ""ENST00000461002.1"", ""ENST00000409085.8"", ""ENST00000495836.1"", ""ENST00000495239.1"", ""ENST00000409068.5"", ""ENST00000406297.7"", ""ENST00000492192.1"")"
ENSG00000177225	E024	99.992637	0.007981148	17.21563205	3.34E-05	0.011935183	14.32535097	18.27676378	0.71655006	chr11	772427	772521	95	-	53	83	255	104	118	59	76	74	"c(""ENST00000526650.5"", ""ENST00000528309.5"", ""ENST00000526325.5"", ""ENST00000530209.5"", ""ENST00000534603.5"", ""ENST00000354286.8"", ""ENST00000529966.5"", ""ENST00000397472.6"", ""ENST00000532320.5"", ""ENST00000524550.5"", ""ENST00000319863.12"", ""ENST00000532839.5"")"
ENSG00000122591	E032	17.76527278	0.010447338	17.19424765	3.37E-05	0.012038126	5.557723765	8.426336397	1.20509312	chr7	23014092	23014129	38	-	13	12	33	15	30	9	13	19	"c(""ENST00000432176.6"", ""ENST00000440481.5"", ""ENST00000465661.1"")"
ENSG00000140839	E008	39.96478279	0.017751441	17.18829493	3.39E-05	0.012061162	12.4613261	8.845398323	-0.997110764	chr16	74411353	74411668	316	-	52	38	48	26	29	55	48	29	ENST00000564842.1
ENSG00000164187	E023	54.27451633	0.024749668	17.18539143	3.39E-05	0.01206488	9.785228078	14.51814267	1.150585464	chr5	36151556	36151961	406	-	34	36	125	67	53	41	33	54	ENST00000296603.4
ENSG00000221829	E032	18.39508075	0.009204686	17.17719863	3.40E-05	0.012090902	5.728955745	8.586027058	1.171790726	chr9	35079694	35079730	37	-	8	19	39	15	25	12	11	22	ENST00000378643.7
ENSG00000100417	E012	20.14665128	0.008370107	17.17052096	3.42E-05	0.012102047	8.74513249	5.958874838	-1.111241567	chr22	41584059	41584280	222	-	20	30	17	11	14	37	28	7	"c(""ENST00000478337.1"", ""ENST00000472620.5"", ""ENST00000482178.5"", ""ENST00000485648.5"")"
ENSG00000139220	E086	58.37168662	0.009377538	17.14719104	3.46E-05	0.012235358	11.03530673	14.50286759	0.797833934	chr12	81758508	81758647	140	-	61	60	101	59	68	43	26	59	"c(""ENST00000552948.5"", ""ENST00000549325.5"", ""ENST00000548586.5"", ""ENST00000550584.6"")"
ENSG00000119185	E043	10.48161581	0.092658904	17.13946134	3.47E-05	0.012255541	2.878024568	7.142195471	2.627127379	chr2	9423457	9423462	6	-	2	4	38	16	9	5	1	12	"c(""ENST00000463190.1"", ""ENST00000238091.8"", ""ENST00000355346.8"", ""ENST00000464228.5"", ""ENST00000490426.5"", ""ENST00000488451.5"")"
ENSG00000130766	E001	29.66066837	0.02793914	17.12755711	3.50E-05	0.012288017	6.839881227	10.83992501	1.336148107	chr1	28259527	28259937	411	+	20	17	83	24	43	11	17	30	ENST00000253063.3
ENSG00000139697	E034	60.0694604	0.00220979	17.11614016	3.52E-05	0.012319058	11.61727806	14.31807919	0.610575353	chr12	123364701	123364763	63	-	58	61	90	53	69	52	38	68	"c(""ENST00000602398.2"", ""ENST00000267176.8"")"
ENSG00000166484	E044	45.49486305	0.031647485	17.11591256	3.52E-05	0.012319058	8.468487283	13.38489415	1.332283885	chr17	19381781	19382088	308	+	18	34	121	53	60	19	30	38	"c(""ENST00000570306.5"", ""ENST00000573417.1"", ""ENST00000395602.8"", ""ENST00000308406.9"", ""ENST00000490660.2"", ""ENST00000395604.7"", ""ENST00000299612.11"")"
ENSG00000052841	E003	103.4011302	0.005482394	17.08653094	3.57E-05	0.012451331	15.10004667	18.58432029	0.611516551	chr11	43358954	43359113	160	+	73	88	156	83	113	83	97	145	"c(""ENST00000039989.8"", ""ENST00000534347.5"", ""ENST00000299240.10"")"
ENSG00000178074	E002	31.70462201	0.005105689	17.08835492	3.57E-05	0.012451331	8.062090763	10.67650277	0.815638666	chr2	199911306	199911771	466	+	16	30	42	34	41	30	23	39	"c(""ENST00000319974.5"", ""ENST00000491721.1"")"
ENSG00000130635	E044	54.8254169	0.013068975	17.0773472	3.59E-05	0.012481863	10.31920004	13.77655859	0.842624507	chr9	134801954	134802007	54	+	23	47	147	50	84	33	35	33	"c(""ENST00000618395.4"", ""ENST00000371817.7"")"
ENSG00000186716	E004	478.9229659	0.00952431	17.0670932	3.61E-05	0.012504728	31.32738603	38.34930601	0.634755356	chr22	23180961	23182229	1269	+	328	473	972	476	563	376	324	407	"c(""ENST00000305877.12"", ""ENST00000398512.9"", ""ENST00000359540.7"")"
ENSG00000048471	E006	43.25251419	0.003004718	17.06265459	3.62E-05	0.012505781	9.589478521	12.29037585	0.722293877	chr16	12002991	12003043	53	+	32	40	69	47	40	35	28	60	"c(""ENST00000568949.1"", ""ENST00000564111.5"", ""ENST00000569801.5"", ""ENST00000566228.5"")"
ENSG00000061938	E007	11.11362028	0.014761257	17.06242794	3.62E-05	0.012505781	3.834930829	6.720976723	1.622184788	chr3	195868084	195868216	133	-	3	8	35	15	14	7	1	9	"c(""ENST00000420716.2"", ""ENST00000495247.5"", ""ENST00000333602.10"", ""ENST00000428187.5"", ""ENST00000381916.6"", ""ENST00000416152.5"")"
ENSG00000130635	E042	58.52394065	0.005388274	17.05643633	3.63E-05	0.012515643	11.07485306	14.04689404	0.693862568	chr9	134796848	134796901	54	+	37	47	162	50	86	35	40	27	"c(""ENST00000618395.4"", ""ENST00000371817.7"")"
ENSG00000168175	E002	11.85178473	0.057232177	17.03505683	3.67E-05	0.012612623	3.619991128	7.355326321	2.0499717	chr14	55051647	55051682	36	+	2	9	36	13	17	4	4	13	"c(""ENST00000395468.8"", ""ENST00000554364.1"")"
ENSG00000006194	E020	57.26212067	0.004218408	17.01994762	3.70E-05	0.012683505	13.97650197	11.12249055	-0.666660275	chr16	3299157	3300912	1756	+	64	88	64	39	28	75	70	41	ENST00000575332.1
ENSG00000176619	E008	82.32582169	0.010175355	17.01075	3.72E-05	0.012730134	12.90877954	16.35769606	0.69395281	chr19	2432416	2432507	92	-	32	74	236	72	100	54	42	74	"c(""ENST00000532465.1"", ""ENST00000325327.3"")"
ENSG00000136279	E028	48.1202243	0.004675778	17.00048448	3.74E-05	0.012769171	13.06679422	10.19161037	-0.724156128	chr7	44057860	44057933	74	+	67	74	61	33	31	52	47	31	"c(""ENST00000497184.5"", ""ENST00000423561.6"")"
ENSG00000179915	E085	37.16738798	0.072363075	16.94159849	3.85E-05	0.012988918	6.470851128	13.36013075	2.106344554	chr2	51027704	51027798	95	-	19	20	147	31	46	16	12	23	"c(""ENST00000628515.2"", ""ENST00000496792.3"", ""ENST00000405581.3"", ""ENST00000405472.7"", ""ENST00000625672.2"", ""ENST00000406316.6"", ""ENST00000404971.5"", ""ENST00000401669.6"", ""ENST00000626899.1"", ""ENST00000630543.2"")"
ENSG00000185024	E036	69.30742156	0.0067754	16.94488654	3.85E-05	0.012988918	15.59055914	12.23482456	-0.709277286	chr14	105226761	105228270	1510	-	82	74	87	45	65	92	82	37	ENST00000547562.5
ENSG00000277443	E003	478.904127	0.009629364	16.94992085	3.84E-05	0.012988918	31.60395081	38.27050378	0.601001836	chr6	113859683	113860438	756	+	412	480	896	414	504	355	313	551	"c(""ENST00000612661.1"", ""ENST00000617290.1"")"
ENSG00000138758	E004	23.12000428	0.10604654	16.93745947	3.86E-05	0.013002254	4.50195543	10.67179671	2.500322568	chr4	76949809	76949835	27	+	8	11	89	33	24	7	5	16	"c(""ENST00000502584.5"", ""ENST00000264893.10"", ""ENST00000505788.5"", ""ENST00000510641.5"")"
ENSG00000182446	E009	117.9187202	0.009198981	16.92718037	3.88E-05	0.013042762	15.7720396	20.11430603	0.718226799	chr17	81559316	81559395	80	-	89	124	205	134	121	76	87	123	"c(""ENST00000573876.1"", ""ENST00000572824.1"", ""ENST00000573519.5"", ""ENST00000574964.1"", ""ENST00000572760.5"", ""ENST00000331134.10"", ""ENST00000571714.5"", ""ENST00000573212.5"", ""ENST00000572346.5"")"
ENSG00000051108	E005	70.23674499	0.017775804	16.90061519	3.94E-05	0.01313431	11.56571895	15.92076671	0.93482598	chr16	56932160	56932391	232	+	34	64	128	75	89	46	47	87	"c(""ENST00000344114.8"", ""ENST00000562914.1"", ""ENST00000570273.5"", ""ENST00000568676.5"", ""ENST00000569569.5"", ""ENST00000439977.6"", ""ENST00000300302.9"", ""ENST00000565966.5"", ""ENST00000379792.6"")"
ENSG00000070061	E042	45.85350603	0.008652944	16.89951034	3.94E-05	0.01313431	9.678593359	12.90322867	0.837468317	chr9	108933954	108934116	163	-	27	44	82	45	58	40	32	45	ENST00000374647.9
ENSG00000141503	E005	27.68813384	0.010468198	16.90060325	3.94E-05	0.01313431	7.187922281	10.28539832	1.03966113	chr17	4833584	4833620	37	+	14	24	62	24	37	19	19	28	"c(""ENST00000355280.10"", ""ENST00000572330.5"", ""ENST00000574453.5"", ""ENST00000347992.11"", ""ENST00000453408.7"")"
ENSG00000134982	E004	99.85234257	0.008496583	16.88383802	3.97E-05	0.013196197	14.62425491	18.58641681	0.705731831	chr5	112707650	112707882	233	+	84	100	180	90	106	70	75	111	"c(""ENST00000505350.1"", ""ENST00000507379.5"")"
ENSG00000169432	E035	33.14619754	0.004200919	16.88227857	3.98E-05	0.013196197	8.173084435	10.84132401	0.820574452	chr2	166375697	166375987	291	-	17	22	37	41	41	39	21	46	"c(""ENST00000303354.10"", ""ENST00000409672.5"")"
ENSG00000012061	E033	72.60039678	0.004587689	16.86934089	4.00E-05	0.013236739	12.54076053	15.60660812	0.640230613	chr19	45423873	45423938	66	-	56	62	128	76	78	40	64	85	"c(""ENST00000588300.1"", ""ENST00000300853.7"", ""ENST00000589165.5"")"
ENSG00000026025	E008	8972.935725	0.011850778	16.86620058	4.01E-05	0.013236739	99.58070049	113.3214516	0.642330051	chr10	17229751	17229870	120	+	5958	8707	15567	8642	9472	6865	6532	11324	"c(""ENST00000485947.1"", ""ENST00000478317.5"", ""ENST00000478746.1"", ""ENST00000224237.9"", ""ENST00000544301.5"", ""ENST00000487938.5"")"
ENSG00000122591	E031	18.0883375	0.01150549	16.8669899	4.01E-05	0.013236739	5.615855717	8.508457841	1.203132783	chr7	23014089	23014091	3	-	13	13	35	15	30	9	13	19	"c(""ENST00000432176.6"", ""ENST00000440481.5"", ""ENST00000467005.5"", ""ENST00000465661.1"")"
ENSG00000224870	E020	12.02032403	0.010211854	16.84806227	4.05E-05	0.013328611	7.060899076	4.336838398	-1.409722404	chr1	1402007	1402026	20	+	19	25	7	7	4	16	12	9	"c(""ENST00000453521.1"", ""ENST00000444362.2"", ""ENST00000572242.1"", ""ENST00000418833.2"")"
ENSG00000178950	E020	88.97374538	0.003649721	16.84347221	4.06E-05	0.013339184	13.97464351	17.03121349	0.580799833	chr4	866364	866501	138	-	53	91	199	99	93	57	58	80	"c(""ENST00000511980.5"", ""ENST00000314167.8"", ""ENST00000618573.4"", ""ENST00000509566.1"", ""ENST00000510799.1"", ""ENST00000511163.5"", ""ENST00000515868.5"")"
ENSG00000146701	E005	231.6522826	0.008280863	16.83544038	4.08E-05	0.013365654	22.14642541	27.34793841	0.635895452	chr7	76048161	76048226	66	+	149	230	445	244	253	169	164	236	"c(""ENST00000461263.2"", ""ENST00000490105.1"", ""ENST00000432020.2"", ""ENST00000443006.5"", ""ENST00000461665.5"", ""ENST00000315758.9"")"
ENSG00000104774	E029	70.39364454	0.0047627	16.8297963	4.09E-05	0.013375405	12.25726406	15.42054013	0.671733261	chr19	12658063	12658141	79	-	48	59	143	84	72	50	52	65	"c(""ENST00000221363.8"", ""ENST00000466794.5"", ""ENST00000465830.1"", ""ENST00000456935.6"")"
ENSG00000143190	E021	61.07034692	0.003919004	16.82080461	4.11E-05	0.013403476	11.6563551	14.24375222	0.585546434	chr1	167371980	167372036	57	+	56	58	83	59	62	43	36	98	"c(""ENST00000429375.6"", ""ENST00000470928.3"", ""ENST00000557909.5"", ""ENST00000560232.6"", ""ENST00000443275.2"", ""ENST00000367866.6"", ""ENST00000541643.7"", ""ENST00000420254.7"", ""ENST00000271411.8"", ""ENST00000367862.9"", ""ENST00000367865.5"")"
ENSG00000129757	E013	40.21405169	0.070362825	16.81332958	4.12E-05	0.013417513	6.890428526	12.8275223	1.805605929	chr11	2885750	2885771	22	-	9	35	173	46	38	10	9	22	"c(""ENST00000440480.6"", ""ENST00000414822.7"", ""ENST00000430149.2"")"
ENSG00000151136	E007	64.52203351	0.004380161	16.8132233	4.12E-05	0.013417513	11.84981524	14.75088245	0.640072967	chr12	107543935	107544139	205	+	43	52	82	67	100	64	50	59	"c(""ENST00000420571.6"", ""ENST00000415943.6"", ""ENST00000490090.6"", ""ENST00000280758.9"", ""ENST00000550706.5"")"
ENSG00000105556	E003	54.53220107	0.014837999	16.79000871	4.18E-05	0.013447735	10.16831347	14.10072031	0.953521368	chr19	307119	307536	418	-	30	53	123	74	61	30	34	40	"c(""ENST00000619835.4"", ""ENST00000264819.6"")"
ENSG00000127616	E004	10.75464158	0.06083892	16.79940395	4.15E-05	0.013447735	3.080633667	7.037959647	2.388124225	chr19	10961110	10961174	65	+	1	5	43	11	18	3	4	5	"c(""ENST00000344626.8"", ""ENST00000589677.5"", ""ENST00000444061.7"", ""ENST00000541122.6"", ""ENST00000429416.7"")"
ENSG00000143434	E010	53.01765238	0.004439515	16.805365	4.14E-05	0.013447735	10.61511588	13.75232676	0.755237151	chr1	151132869	151133517	649	-	40	57	121	60	50	34	39	35	"c(""ENST00000368912.7"", ""ENST00000368913.7"", ""ENST00000368914.7"", ""ENST00000341697.7"")"
ENSG00000143569	E031	25.23269832	0.004857253	16.80231307	4.15E-05	0.013447735	9.632658007	6.949722903	-0.946691657	chr1	154254647	154254835	189	+	40	33	16	16	17	39	25	19	ENST00000495676.5
ENSG00000049618	E002	54.36271681	0.02025406	16.76920565	4.22E-05	0.013506529	10.03087326	14.30472317	1.035144024	chr6	156777929	156779432	1504	+	43	41	116	50	52	34	30	80	"c(""ENST00000346085.9"", ""ENST00000350026.9"")"
ENSG00000105568	E001	39.9810615	0.002881428	16.76924608	4.22E-05	0.013506529	9.090503359	11.87195106	0.776451223	chr19	52190039	52190047	9	+	29	35	72	41	52	30	24	42	ENST00000322088.10
ENSG00000125826	E010	34.51280201	0.011969956	16.73119679	4.31E-05	0.013720274	7.959342574	11.05722105	0.954802739	chr20	408343	408511	169	+	21	36	77	40	43	10	14	42	"c(""ENST00000353660.7"", ""ENST00000441733.5"", ""ENST00000415942.5"", ""ENST00000356286.9"", ""ENST00000400245.3"", ""ENST00000400247.3"", ""ENST00000475269.5"", ""ENST00000382214.7"", ""ENST00000382181.2"")"
ENSG00000134769	E050	36.01576491	0.009625	16.729003	4.31E-05	0.013720274	11.62183858	8.346861324	-0.962021682	chr18	34825267	34825275	9	+	45	54	28	25	22	48	42	29	"c(""ENST00000598774.5"", ""ENST00000315456.10"", ""ENST00000283365.13"", ""ENST00000444659.5"", ""ENST00000399113.7"", ""ENST00000598142.5"")"
ENSG00000141756	E005	10.36157792	0.030046825	16.7249068	4.32E-05	0.013720274	3.481542215	6.632363878	1.862986792	chr17	41812989	41813029	41	+	4	6	33	10	15	3	3	12	"c(""ENST00000489591.5"", ""ENST00000321562.8"")"
ENSG00000128872	E004	57.32468222	0.006878477	16.71032427	4.35E-05	0.013796115	11.10762502	14.10555352	0.697459267	chr15	51751667	51751712	46	+	49	60	83	71	53	32	48	67	"c(""ENST00000539962.6"", ""ENST00000435126.6"", ""ENST00000560576.1"", ""ENST00000249700.8"")"
ENSG00000266074	E022	20.37962884	0.009886141	16.7036488	4.37E-05	0.013819347	5.769498598	8.592636689	1.153626019	chr17	81452723	81452851	129	+	11	17	66	28	24	3	9	11	"c(""ENST00000584436.7"", ""ENST00000307745.8"")"
ENSG00000145349	E042	99.91964531	0.007395994	16.66860402	4.45E-05	0.013946194	14.62762229	18.31467176	0.661496466	chr4	113761219	113761416	198	-	57	85	132	111	89	103	66	162	"c(""ENST00000394524.7"", ""ENST00000509907.1"", ""ENST00000394522.7"", ""ENST00000296402.9"", ""ENST00000505132.1"")"
ENSG00000099991	E066	104.0693489	0.009266705	16.64605753	4.50E-05	0.01404793	14.79112841	18.91430704	0.724234272	chr22	24177539	24177817	279	+	74	108	195	113	116	61	81	100	"c(""ENST00000620406.1"", ""ENST00000398319.6"", ""ENST00000617531.4"", ""ENST00000263119.9"", ""ENST00000405822.6"", ""ENST00000337989.11"")"
ENSG00000145604	E008	89.90716018	0.004264729	16.64035773	4.52E-05	0.01404793	14.18818509	17.39668647	0.599001111	chr5	36152239	36152241	3	+	73	96	150	85	79	70	67	114	"c(""ENST00000274255.10"", ""ENST00000509692.5"", ""ENST00000513151.5"", ""ENST00000274254.9"", ""ENST00000620197.4"", ""ENST00000513263.1"", ""ENST00000508514.5"")"
ENSG00000169718	E035	73.5305433	0.004080944	16.63850796	4.52E-05	0.01404793	12.52290744	15.59976361	0.643100372	chr17	82061618	82061695	78	-	40	66	189	74	85	44	53	55	"c(""ENST00000578176.5"", ""ENST00000578846.5"", ""ENST00000578907.5"", ""ENST00000306796.9"", ""ENST00000582529.5"", ""ENST00000580731.1"", ""ENST00000578264.1"", ""ENST00000354321.11"", ""ENST00000538833.6"")"
ENSG00000105397	E018	36.45607675	0.008490322	16.61196173	4.59E-05	0.014191385	8.269215128	11.49433399	0.956981514	chr19	10353528	10353646	119	-	21	19	98	40	43	26	26	26	"c(""ENST00000525621.5"", ""ENST00000524462.5"", ""ENST00000592137.1"", ""ENST00000529739.1"", ""ENST00000264818.10"")"
ENSG00000102931	E002	54.73737787	0.00716461	16.59840007	4.62E-05	0.014226305	10.75312643	13.856064	0.739639188	chr16	57245259	57245349	91	+	45	55	96	57	54	31	40	68	"c(""ENST00000565794.1"", ""ENST00000219204.7"")"
ENSG00000182173	E026	23.66239906	0.02618056	16.60019974	4.61E-05	0.014226305	6.103622588	9.95364831	1.417698678	chr17	75522007	75522115	109	+	15	17	69	23	34	14	10	14	"c(""ENST00000545228.2"", ""ENST00000333213.10"", ""ENST00000583173.5"", ""ENST00000578415.1"")"
ENSG00000148399	E037	32.50897777	0.003541726	16.5861535	4.65E-05	0.014283859	8.279992019	10.90265929	0.79930983	chr9	137578625	137578717	93	-	29	36	54	36	35	28	17	30	"c(""ENST00000479650.5"", ""ENST00000467768.5"", ""ENST00000491359.1"", ""ENST00000475100.5"", ""ENST00000460572.1"", ""ENST00000277540.6"", ""ENST00000476303.1"", ""ENST00000472113.5"")"
ENSG00000148175	E011	16.35560753	0.016018297	16.57100523	4.69E-05	0.014349025	5.184133242	8.002907352	1.256800142	chr9	121370127	121370205	79	-	8	8	18	20	20	15	8	33	"c(""ENST00000347359.3"", ""ENST00000538954.5"", ""ENST00000286713.6"")"
ENSG00000185189	E009	48.66360614	0.015613488	16.56749132	4.69E-05	0.014360569	9.693036697	13.37073141	0.937133705	chr8	143835662	143835730	69	-	25	54	124	48	64	25	31	31	"c(""ENST00000442628.6"", ""ENST00000532940.5"", ""ENST00000423469.6"", ""ENST00000530123.1"", ""ENST00000531729.1"", ""ENST00000533846.5"", ""ENST00000533093.5"", ""ENST00000529747.5"", ""ENST00000527545.1"")"
ENSG00000095596	E006	460.3078269	0.010002644	16.54568165	4.75E-05	0.014462631	30.82473284	37.83522061	0.641682169	chr10	93074779	93074798	20	+	293	445	1191	429	535	332	416	160	"c(""ENST00000224356.4"", ""ENST00000371531.5"", ""ENST00000622925.1"")"
ENSG00000122591	E029	27.01621372	0.003688501	16.55191823	4.73E-05	0.014462631	7.376269272	9.9759301	0.875920314	chr7	23014075	23014084	10	-	22	25	44	28	34	17	19	30	"c(""ENST00000477349.5"", ""ENST00000467005.5"", ""ENST00000440481.5"", ""ENST00000465661.1"", ""ENST00000432176.6"", ""ENST00000409923.5"")"
ENSG00000068097	E046	71.72318288	0.002929023	16.53631347	4.77E-05	0.014493541	12.68538029	15.5145858	0.589391322	chr17	60078696	60078912	217	-	51	66	108	67	72	61	66	90	"c(""ENST00000585976.5"", ""ENST00000585712.1"", ""ENST00000613428.4"", ""ENST00000593097.5"", ""ENST00000593228.5"", ""ENST00000184956.10"", ""ENST00000587003.5"", ""ENST00000591074.1"", ""ENST00000592664.1"")"
ENSG00000100626	E026	56.38638188	0.002849208	16.53145148	4.78E-05	0.014493541	13.76540424	11.14166398	-0.617110378	chr14	69338651	69338777	127	+	78	67	68	42	35	59	81	29	"c(""ENST00000337827.8"", ""ENST00000553669.1"", ""ENST00000556677.1"", ""ENST00000553471.6"", ""ENST00000448469.7"")"
ENSG00000138758	E005	24.3539929	0.10399059	16.5292182	4.79E-05	0.014493541	4.717797358	10.90206207	2.427111493	chr4	76949836	76949836	1	+	8	11	92	34	27	10	5	16	"c(""ENST00000512575.5"", ""ENST00000502584.5"", ""ENST00000505788.5"", ""ENST00000510641.5"", ""ENST00000264893.10"")"
ENSG00000165124	E028	14.18201336	0.006990788	16.53254699	4.78E-05	0.014493541	7.213506498	4.638397647	-1.277398066	chr9	110443545	110443720	176	-	21	21	7	8	8	26	21	3	"c(""ENST00000401783.6"", ""ENST00000374469.5"", ""ENST00000467821.1"")"
ENSG00000129933	E001	21.29852701	0.01110303	16.52444381	4.80E-05	0.014499691	6.094209524	9.061691523	1.149469662	chr19	19320681	19320985	305	+	13	15	47	28	29	14	11	16	ENST00000262815.12
